ID,HH,VN,A03,A04,DIS,A13D,A13M,A13Y,A13IN,A14,A14_1,A14_2,A14_3,A14_4,A14_5,A17,A18,A19,A20,A20D,A20M,A20Y,B00H,B00M,B21H,B21M,F00H,F00M,F01A,F01B,F02,F04,F05,F06,F07,F08,F09,F10_1,F10_2,F10_3,F10_4,F10_5,F10_6,F10_7,F10_8,F10_9,F10A,F10B,F11,F11A,F11B,F11C,F11D,F12,F12A,F12B,F12C,F12D,F14,F15,F16,F17,F18H,F18M,J300H,J300M,J301A,J301B,J302,J303_1,J303_2,J303_3,J303_4,J303_5,J303_6,J303_7,J303_8,J303_9,J303_10,J304,J305H,J305M,G00H,G00M,G27H,G27M,C00H,C00M,C01A,C01B,C01C,C02,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22H,C22M,D00H,D00M,D66H,D66M,J100H,J100M,J101A,J101B,J102,J102A,J103,J104,J105,J106_1,J106_2,J106_3,J106_4,J106_5,J106_6,J107,J108,J109,J110_1,J110_2,J110_3,J110_4,J110_5,J110_6,J110_7,J110_8,J110_9,J110_10,J110_11,J110_12,J110_13,J110_14,J110_15,J111H,J111M,E00H,E00M,E01A,E01B,E02,E03A,E03B,E04,E05,E06,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31D,E31M,E31Y,E33H,E33M,E34,E36,E37,E38,E39,J500H,J500M,J501A,J501B,J502,J503,J504,J505_1,J505_2,J505_3,J505_4,J505_5,J505_6,J505_7,J505_8,J505_9,J505_10,J505_11,J505_12,J505_13,J505_14,J505_15,J506_1,J506_2,J506_3,J506_4,J506_5,J506_6,J506_7,J506_8,J506_9,J506_10,J507,J508H,J508M,AT_ID,AT_HH,AT_VN,AT_SH,AT_SM,AT_ANID,AT_AND,AT_ANM,AT_ANY,AT_SPID,AT_SPD,AT_SPM,AT_SPY,AT_FH,AT_FM,member_id,birth_date,int_date,wom_age,eligible_women,male_adult,female_adult,child,education_level,ed_level_none,ed_level_preprimary,ed_level_primary,ed_level_secondary,ed_level_higher,J1_count2_male,J1_count2_female,strata,cluster,PVO,HHWT,WMWT,WMWT_J5,J1WT,gendered_hh,male_adult_max,female_adult_max,child_max,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,HDDS,C1617,C1819,C2021,HHS,HHS_N,HHS_N2,improved_water,improved_sanitation,soap_water,critical_handwashing,critical_handwashing_cat,any_sanitation,J304_cat
1312,9,19,29,10,1,27,3,2013,357,1,1,1,0,2,2,366, , ,19,16,5,2013,9,0,9,20,9,20,9,19,2,21,3,998,2,2,2,97,97,97,97,97,97,97,97,97,2, ,21,2, ,2, ,22,2, ,2, ,1,2,3,1,9,26,9,30,9,19,1,1,2, , , , , , , , ,2,9,32, , , , ,9,32,9,19,2,1, , , , , , , , , , , , ,2, ,2, ,2, ,9,33,9,33,9,35,9,35,2,19,2,2,1,1,1,2, , , , , ,2,4,2,4,12, , , , , , , , , , , , , ,9,36,9,40,9,19,2,2,1987,26,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,1,2012,9,43,2,28,162,50.8,1,9,44,9,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,9,46,1312,9,19,10,30,377,27,3,2013,366,27,3,2013,10,45,1190902,2/1/1987,3/1/2013,26,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1, , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,1,0,1,0
1313,12,19,29,10,1,29,3,2013,354,1,1,1,0,2,2,366,368, ,19,16,5,2013,10,33,10,40,10,40,12,19,2,52,1, ,1,2,1,3, , , , , , , , ,2, ,21,2, ,2, ,62,2, ,2, ,1,2,3,1,10,43,10,43,12,19,2,1,2,4,7, , , , , , ,1,10,44, , , , ,10,46,12,19,2,1, , , , , , , , , , , , ,2, ,2, ,2, ,10,47,10,47,11,36,11,36,12,19,2,2,2,3,3,6, , , , , , , , ,1,6,11, , , , , , , , , , , , ,11,37,11,38,12,19,2, ,1988,25,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,15,2,2012,11,40,2,25,155,43.5,1,11,40,12,19,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,41,1313,12,19,10,33,361,28,3,2013,366,28,3,2013,10,39,1191202, ,3/1/2013,25,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1, , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,3,1,1,1
1314,11,19,29,10,1,27,3,2013,365,1,1,1,2,2,2,366, , ,19,16,5,2013,12,30,12,40,12,50,11,19,2,12, , ,1,1,2,97,97,97,97,97,97,97,97,97,2, ,23,2, ,2, ,23,2, ,2, ,2, , ,1,12,59,13,5,11,19,2,1,2,4,5,8, , , , , ,1,13,10,13,10,13,15,13,15,11,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2, ,13,20,13,21,13,35,13,35,11,19,2,2,1,3,3,2, , , , , ,1,4,1,4,7,9,10,11,12, , , , , , , , , ,13,45,13,50,11,19,2, ,1988,25,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,30,3,2011,13,59,2,25,153.5,44.55,1,13,59,11,19,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,14,0,1314,11,19,12,35,377,27,3,2013,366,27,3,2013,12,48,1191102, ,3/1/2013,25,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,3,1,1,1
1315,10,19,29,10,1,27,3,2013,334,1,1,1,1,1,2,366, , ,19,16,5,2013,13,10,13,20,13,22,10,19,2,21,3,40,2,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,1,1,1,2,13,27,13,28,10,19,2,1,2,5,6, , , , , , ,8,13,30,13,30,13,40,13,41,10,19,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,13,45,13,46,13,56,13,57,10,19,2,2,1,1,1,1, , , , , ,1,3,2,2,3,4,5, , , , , , , , , , , ,14,0,14,2,10,19,2, ,1978,35,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,26,10,2012,14,8,2,35,165,64.5,1,14,9,10,19,2,1,1,7, , , , , , , , , , , , , , ,1, , , , , , , , , ,2,14,11,1315,10,19,14,21,361,27,3,2013,366,27,3,2013,14,27,1191002, ,3/1/2013,35,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,1,1,0,0,1,3,1,0,0
1316,8,19,29,10,1,27,3,2013,335,1,1,1,0,1,2,366, , ,19,16,5,2013,12,50,12,53,12,54,8,19,2,21,3,120,1,2,1,6, , , , , , , , ,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,12,55,12,55,8,19,2,1,2,5,6,8, , , , , ,1,12,56, , , , ,12,57,8,19,2,1, , , , , , , , , , , , ,1,2,1,2,1,2,12,58,12,59,13,2,13,2,8,19,2,2,1,1,1,3, , , , , ,5,4,2,1,2,6,9,11,12, , , , , , , , , ,13,3,13,4,8,19,2,8,1985,28,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,1,2011,13,6,2,28,168,56.35,1,13,6,8,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,13,7,1316,8,19,13,30,372,27,3,2013,366,27,3,2013,13,40,1190802,8/1/1985,3/1/2013,28,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1, , , , , , , , , , , , , ,1,1,1,3,1,1,1,0,0,3,1,0,1
1317,7,19,29,10,1,27,3,2013,354,1,1,2,0,1,1,366,368, ,19,16,5,2013,11,32,11,45,11,45,7,19,1,21,3,98,1,1,2,97,97,97,97,97,97,97,97,97,2, ,21,2, ,2, ,21,2, ,2, ,1,1,3,1,11,49,11,49,7,19,1,1,2,7, , , , , , , ,1,11,50, , , , ,11,53,7,19,5,1, , , , , , , , , , , , ,1,2,1,1,1,2,11,54,11,55,11,57,11,57,7,19,5,2,3, , ,6, , , , , , , , ,5,11, , , , , , , , , , , , , ,11,59,12,1,7,19,1, ,1975,38,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,24,2,2009,12,12,1,38,168.5,44.6,1,12,12,7,19,5,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,16,1317,7,19,11,32,361,27,3,2013,366,27,3,2013,11,39,1190705, ,3/1/2013,38,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,23.8257575757576,23.8257575757576,11.9128787878788,3,1,1,1, , , , , , , , , , , , , ,1,1,1,3,1,1,0,1,0,2,0,1,1
1318,6,19,29,10,1,27,3,2013,357,1,1,1,0,2,2,366, , ,19,16,5,2013,10,31,11,0,11,0,6,19,2,21,3,998,2,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,61,2, ,1,23,3, , ,1,11,5,11,5,6,19,2,1,2,6, , , , , , , ,2,11,6, , , , ,11,6,6,19,2,1, , , , , , , , , , , , ,1,1,1,1,1,2,11,10,11,11,11,13,11,13,6,19,2,2,1,1,1,1, , , , , ,1,2,1,4,12, , , , , , , , , , , , , ,11,15,11,18,6,19,2,6,1982,30,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, , , , , ,11,25,2,30,161.3,57.1,1,11,26,6,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,28,1318,6,19,12,12,361,27,3,2013,366,27,3,2013,12,32,1190602,6/1/1982,3/1/2013,31,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1, , , , , , , , , , , , , ,1,1,1,3,1,1,0,0, ,2,0,0,0
1319,5,19,29,10,1,27,3,2013,335,1,1,1,0,2,1,366, , ,15,17,5,2013,11,37,11,41,11,42,5,19,1,21,3,120,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,4, , ,2,11,49,11,49,5,19,1,1,2,5,6,8, , , , , ,1,11,50, , , , ,11,51,5,19,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,11,52,11,52,11,56,11,56,5,19,2,2,3, , ,3, , , , , ,4,2,2,1,2,9,10,11, , , , , , , , , , ,11,58,11,58,5,19,1,4,1985,28,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2011,11,59,1,25,158.6,46.9,1,12,0,5,19,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,1,1319,5,19,12,30,361,27,3,2013,366,27,3,2013,12,50,1190502,4/1/1985,3/1/2013,28,1, , , , , , , , , ,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,0,0,3,1,0,1
1320,27,19,29,10,1,27,3,2013,375,1,1,1,1,0,2,366, , ,15,17,5,2013,11,30,11,40,11,44,27,3,2,21,3,210,1,2,2,97,97,97,97,97,97,97,97,97,2, ,22,1,5,1,62,62,2, ,1,62,2, , ,1,11,50,11,50,27,3,2,1,2,5,6, , , , , , ,1,11,52,11,53,12,9,12,10,27,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2, ,2, ,12,15,12,15,12,16,12,16,27,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,17,12,22,27,3,2,8,1988,25,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1, , , , , ,12,24,2,25,168.3,56.56,1,12,24,27,3,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,26,1320,27,3,11,14,361,27,3,2013,366,27,3,2013,11,17,1032702,8/1/1988,3/1/2013,25,1, , , , , , , , , ,0,0,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788, ,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,3,1,1,1
1321,3,19,29,10,1,27,3,2013,365,1,1,1,2,2,2,366, , ,15,17,5,2013,11,25,11,30,11,26,3,19,2,21,3,250,1,2,2,97,97,97,97,97,97,97,97,97,2, ,22,2, ,2, ,23,2, ,2, ,2, , ,1,11,30,11,30,3,19,2,1,2,4,5, , , , , , ,1,11,31,11,32,11,41,11,42,3,19,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2, ,11,45,11,44,11,54,11,54,3,19,2,2,1,3,3,2, , , , , ,1,3,2,9,10,11,12,13, , , , , , , , , , ,12,1,12,5,3,19,2,8,1983,30,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,15,3,2011,12,8,2,30,162.3,50.45,1,12,9,3,19,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,11,1321,3,19,11,2,372,27,3,2013,366,27,3,2013,11,5,1190302,8/1/1983,3/1/2013,30,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,1,1,1,1,0,3,1,1,1
1322,2,19,29,10,1,27,3,2013,334,1,1,1,0,1,1,366, , ,15,17,5,2013,11,6,11,30,11,31,2,19,1,21,3,998,2,2,2,97,97,97,97,97,97,97,97,97,2, ,21,2, ,2, ,21,2, ,2, ,1,1,1,1,11,35,11,36,2,19,1,1,2,6, , , , , , , ,1,11,37, , , , ,11,38,3,19,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,11,45,11,46,11,55,11,56,2,19,1,2,1,1,1,1,2, , , , ,1,5,2,2,3,4,5, , , , , , , , , , , ,12,0,12,2,2,19,1,8,1978,40,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,20,1,2013,12,8,2,40,160.4,55.35,1,12,9,2,19,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,1322,2,19,12,20,366,27,3,2013,366,27,3,2013,12,45,1190201,8/1/1978,3/1/2013,35,1, , , , , , , , , ,0,0,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788, ,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,1,1,2,0,1,1
1323,1,19,29,10,1,27,3,2013,375,1,1,1,0,2,1,366, , ,5,16,5,2013,11,9,11,20,11,20,1,19,1,32,3,4,2,1,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,4, , ,2,11,25,11,25,1,19,2,1,2,8, , , , , , , ,1,11,26, , , , ,11,27,1,19,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2, ,2, ,11,30,11,30,12,2,12,2,1,19,2,2,1,2,2,2, , , , , ,1,5,1,1,3,4,13, , , , , , , , , , , ,12,8,12,10,1,19,2,12,1985,28,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,24,2,2012,12,38,2,28,156.7,45.5,1,12,38,1,19,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,39,1323,1,19,12,15,377,27,3,2013,366,27,3,2013,12,30,1190102,12/1/1985,3/1/2013,27,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1
1324,28,19,29,10,1,29,3,2013,335,1,1,1,0,2,2,366, , ,5,16,5,2013,10,1,10,6,10,6,28,19,2,52,3,50,2,1,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,4, , ,2,10,10,10,10,28,19,2,1,2,5,6,8, , , , , ,1,10,11, , , , ,10,11,28,19,2,1, , , , , , , , , , , , ,1,2,1,2,1,2,10,12,10,12,10,14,10,15,28,19,2,2,1,1,1,3, , , , , ,5,6,2,1,2,3,9,10,11,12, , , , , , , , ,10,16,10,17,28,19,2,10,1975,38,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,18,2,2011,10,20,2,38,159.4,47.25,1,10,20,28,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,10,22,1324,28,19,10,16,361,29,3,2013,366,29,3,2013,10,22,1192802,10/1/1975,3/1/2013,38,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1, , , , , , , , , , , , , ,1,1,1,3,1,1,0,0,0,3,1,0,1
1325,27,19,29,10,1,29,3,2013,334,1,1,1,0,1,2,366, , ,5,16,5,2013,9,30,9,57,9,58,27,19,2,81,3,56,2,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,62,1,98,2, ,1,1,3,2,10,10,10,12,27,19,2,1,2,5,6, , , , , , ,1,10,15, , , , ,10,17,27,19,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,10,25,10,27,10,40,10,41,27,19,2,2,2,1,1,1, , , , , ,1,4,2,2,3,4,5, , , , , , , , , , , ,10,47,10,50,27,19,2, ,1979,34,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,20,1,2009,11,0,2,34,160,46.5,1,11,2,27,19,2,1,1,7, , , , , , , , , , , , , , ,1, , , , , , , , , ,1,11,7,1325,27,19,10,21,377,29,3,2013,366,29,3,2013,10,25,1192702, ,3/1/2013,34,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,3,1,1,0,0,0,3,1,0,1
1326,26,19,29,10,1,28,3,2013,354,1,1,1,0,2,2,366,368, ,5,16,5,2013,10,50,10,58,10,59,26,19,2,52,3,30,2,1,1,6, , , , , , , , ,2, ,71,997, ,1,62,62,2, ,1,62,2, , ,2,11,0,10,56,26,19,2,1,2,4,6,8, , , , , ,1,10,57, , , , ,10,57,26,19,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2, ,2, ,2, ,10,58,10,59,11,7,11,7,26,19,2,2,1,1,1,6, , , , , , , , ,11,13, , , , , , , , , , , , , ,11,9,11,11,26,19,2, ,1985,28,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2012,11,15,2,28,167.3,56.4,1,11,15,26,19,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,16,1326,26,19,12,42,361,28,3,2013,366,28,3,2013,12,49,1192602, ,3/1/2013,28,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1
1327,34,19,29,10,1,29,3,2013,343,1,1,1,0,1,2,366, , ,5,16,5,2013,10,47,10,48,10,48,34,19,2,21,3,160,2,2,2,97,97,97,97,97,97,97,97,97,1,52,71,997, ,2, ,71, , ,1,62,4, , ,2,10,52,10,52,34,19,2,1,2,5,6,8, , , , , ,1,10,53, , , , ,10,52,34,19,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,3,1,2,2, ,10,53,10,53,10,59,10,59,34,19,2,2,1,2,2,1,2, , , , ,2,4,1,1,2,11,13, , , , , , , , , , , ,11,1,11,2,34,19,2,2,1993,20,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,2012,11,5,2,20,159.4,46.6,1,11,5,34,19,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,6,1327,34,19,10,1,361,29,3,2013,366,29,3,2013,10,12,1193402,2/1/1993,3/1/2013,20,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,3,1,1,0,0,0,3,1,0,1
1328,33,19,29,10,1,29,3,2013,365,1,1,1,1,1,2,366, , ,5,16,3,2013,10,11,10,47,10,48,33,19,2,71,1, ,1,2,2,97,97,97,97,97,97,97,97,97,2, ,71,997, ,2, ,71, , ,2, ,2, , ,2,10,51,10,49,33,19,2,1,2,8, , , , , , , ,2,10,50,10,51,10,55,10,56,33,19,2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,10,57,10,57,10,59,10,59,33,19,2,2,2,2,2,2, , , , , ,2,5,1,4,9,10,11,12,13, , , , , , , , , ,11,0,11,1,33,19,2,1,1978,35,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,15,2,2011,11,3,2,35,161.7,45.5,1,11,3,33,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,11,4,1328,33,19,10,17,365,29,3,2013,366,29,3,2013,10,23,1193302,1/1/1978,3/1/2013,35,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,6,1,1,1,3,1,1,0,0,0,1,0,0,0
1329,30,19,29,10,1,29,3,2013,357,1,1,1,1,2,1,366, , ,5,16,5,2013,9,50,9,59,9,59,30,19,1,21,3,140,1,1,2,97,97,97,97,97,97,97,97,97,2, ,62,2, ,2, ,62,2, ,2, ,2, , ,2,10,5,10,5,30,19,1,1,2,4,5,6,8, , , , ,1,10,8,10,8,10,19,10,20,30,19,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2, ,10,30,10,30,10,32,10,32,30,19,1,2,3, , ,2, , , , , ,1,2,2,1,9,11,12,13, , , , , , , , , , ,10,34,10,36,30,19,1, ,1983,30,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,8,7,2012,10,45,1,30,168.3,55.45,1,10,46,30,19,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,10,50,1329,30,19,10,30,377,29,3,2013,366,29,3,2013,10,45,1193001, ,3/1/2013,30,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,5,1,1,0,2,1,1,0,0,0,4,1,0,1
1330,29,19,29,10,1,28,3,2013,375,1,1,1,1,2,1,366, , ,5,16,5,2013,9,10,10,21,10,22,29,16,1,32,3,1,2,1,2,97,97,97,97,97,97,97,97,97,2, ,23,1,3,1,71,23,1,3,1,71,2, , ,2,10,46,10,46,29,16,1,1,2,5, , , , , , , ,1,10,47,10,47,10,46,10,47,29,16,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2, ,10,52,10,53,11,59,11,59,29,16,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,3,12,13,29,16,2, ,1984,29,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,15,2,2011,12,20,2,29,169.4,55.2,1,12,20,29,16,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,21,1330,29,19,12,3,361,28,3,2013,366,28,3,2013,12,17,1192901, ,3/1/2013,29,1,1,0,0,0,1,0,0,0,0,1,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,23.8257575757576,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,2,1,1,0,0,0,2,0,1,1
1331,25,19,29,10,1,28,3,2013,357,1,1,1,0,2,2,366,368, ,19,17,5,2013,12,20,12,38,12,40,25,19,2,42,3,998,2,2,2,97,97,97,97,97,97,97,97,97,2, ,23,2, ,2, ,23,2, ,2, ,2, , ,1,12,42,12,43,25,19,2,1,2,5,6, , , , , , ,2,12,44, , , , ,12,48,25,19,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,12,50,12,51,12,52,12,53,25,19,2,2,1,1,1,2, , , , , ,1,3,1,9,11,12, , , , , , , , , , , , ,12,54,12,56,25,19,2,4,1984,28,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1, , , , , ,12,58,2,28,160.5,58.7,1,13,0,25,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,13,2,1331,25,19,12,5,377,28,3,2013,366,28,3,2013,12,50,1192502,4/1/1984,3/1/2013,29,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,0,0,0,3,1,1,0
1332,32,19,29,10,1,29,3,2013,375,1,1,1,0,0,1,366, , ,31,17,5,2013,12,12,12,15,12,15,32,19,1,21,3,130,1,2,2,97,97,97,97,97,97,97,97,97,2, ,21,2, ,1,62,62,2, ,2, ,2, , ,1,12,19,12,19,32,19,1,1,3,6,7,8, , , , , ,1,12,21, , , , ,12,20,32,19,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,12,23,12,23,12,40,12,40,32,19,1,2,3, , ,1,2, , , , ,1,4,2,5,7,9,11, , , , , , , , , , , ,12,42,12,42,32,19,1,5,1989,24,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,1,2009,12,45,1,12,157.3,49.5,1,12,45,32,19,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,47,1332,32,19,12,42,377,29,3,2013,366,29,3,2013,12,47,1193201,5/1/1989,3/1/2013,24,1, , , , , , , , , ,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,3,1,1,1,3,1,1,1,1,0,3,1,1,1
1333,31,19,29,10,1,29,3,2013,357,1,1,1,0,2,2,366, , ,19,17,5,2013,12,30,12,40,12,40,31,19,2,52,3,998,2,2,2,97,97,97,97,97,97,97,97,97,2, ,23,2, ,2, ,23,2, ,2, ,2, , ,1,12,42,12,43,31,19,2,1,2,6,8, , , , , , ,2,12,44, , , , ,12,45,31,19,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2, ,2, ,2, ,12,47,12,47,12,49,12,49,31,19,2,2,1,1,1,2, , , , , ,2,3,2,11, , , , , , , , , , , , , , ,12,52,12,53,31,19,2,9,1977,36,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, , , , , ,12,54,2,38,164.4,56.75,1,12,54,31,19,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,56,1333,31,19,11,12,361,28,3,2013,366,28,3,2013,11,18,1193102,9/1/1977,3/1/2013,36,1,0,1,0,0,1,0,0,0,0,0,1,21,119,1,11.9128787878788,11.9128787878788,11.9128787878788,11.9128787878788,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
